Price,Close,High,Low,Open,Volume
Ticker,AAP,AAP,AAP,AAP,AAP
Date,,,,,
2021-05-25,168.2555389404297,171.7817476330117,167.50376215032452,171.3611076931603,1146400
2021-05-26,169.15945434570312,169.61590096848204,167.73644540043003,168.7388144200558,716100
2021-05-27,168.8283233642578,170.2960839037436,167.80805096066712,169.9112506618758,1011600
2021-05-28,169.8038330078125,171.34319318612043,168.8283122134933,169.65168869040747,702500
2021-06-01,174.2071075439453,174.83360179339914,170.1260183582322,171.387938046414,1884200
2021-06-02,171.23582458496094,177.2053151275265,170.97627379913993,175.2095217152457,1605400
2021-06-03,171.06578063964844,172.55144467245262,169.11473873286778,170.75253345163057,918300
2021-06-04,172.51560974121094,172.78410533611194,168.96255308640457,171.44164101786026,681800
2021-06-07,172.73939514160156,174.77099545326246,171.22689645225512,173.4106274613953,1111500
2021-06-08,177.0889434814453,177.87652693927825,173.0615504186692,173.0615504186692,1305700
2021-06-09,176.33718872070312,177.97499707598507,175.12896518862874,176.76677354391066,871300
2021-06-10,175.28114318847656,177.17848889240372,173.7149344010349,176.641497559921,925900
2021-06-11,178.4940643310547,179.48748850838246,175.5495848400883,175.7285910139341,812800
2021-06-14,177.73330688476562,179.836506258749,177.13367451471018,178.1539467595623,793900
2021-06-15,179.58595275878906,179.61280095605463,177.26796735316188,178.31508801528395,1136300
2021-06-16,176.23873901367188,179.6754448774732,176.0686913242837,179.2548049056988,823800
2021-06-17,174.86241149902344,177.7139652106841,173.8189368432231,177.52506859900427,1220700
2021-06-18,173.9088897705078,174.74545932623127,172.17276224777234,172.4606229933691,1006300
2021-06-21,178.53256225585938,179.2252152254008,175.195246789848,175.8609145278709,591600
2021-06-22,179.94482421875,180.84436846119237,177.5880226958569,179.06327470442412,448300
2021-06-23,180.5475311279297,181.46505637348758,179.63898265750558,179.90884867571032,699400
2021-06-24,180.7724151611328,181.55501425178824,179.42309881119965,180.5475291028106,527200
2021-06-25,183.8938446044922,184.82038791147465,181.70795842575092,181.86087931790522,675000
2021-06-28,183.96583557128906,184.03780077637697,181.93286999990374,183.57004753224473,548000
2021-06-29,184.67645263671875,186.34960562997642,183.7679040840086,184.4065865940726,574600
2021-06-30,184.53253173828125,186.7454169306071,183.6419778695481,185.5040413061835,569500
2021-07-01,187.95079040527344,188.1666722551503,184.25366274060636,185.13521232150296,611300
2021-07-02,189.84881591796875,189.94776633409538,187.30310405394354,187.9417727822515,522300
2021-07-06,187.73492431640625,189.39908704236225,185.72894403247133,189.26414713903773,540600
2021-07-07,188.4005889892578,188.69744030043765,185.84588608365783,186.5924958871588,689600
2021-07-08,186.6644287109375,188.63443288144597,184.82037391662107,186.0887209204381,661100
2021-07-09,192.0257110595703,192.21460766446666,188.9042914316471,191.64790412382172,653900
2021-07-12,190.6404266357422,192.4485195555913,189.9477873720972,191.09920303675818,379700
2021-07-13,187.977783203125,190.82034663255098,187.8428570415208,189.83983286304996,689000
2021-07-14,189.04823303222656,189.65092606499593,187.55498620276154,188.94928261037148,619500
2021-07-15,188.2296600341797,189.39006623582918,186.71843207612847,187.46504182681184,547200
2021-07-16,185.17120361328125,189.36306970937858,184.99128376866048,189.02125220170458,467800
2021-07-19,185.00929260253906,185.647975157336,182.2836742054222,182.6524906986717,602400
2021-07-20,189.11119079589844,190.2985958380687,185.38707801284258,185.9358005745807,477400
2021-07-21,188.36459350585938,190.89232482162163,188.07674643285725,189.85784051706057,620400
2021-07-22,189.16517639160156,189.4530371736887,186.81736507578893,188.77837890737422,450400
2021-07-23,193.35704040527344,193.4829760555423,189.4260362906359,189.4260362906359,360300
2021-07-26,192.58346557617188,194.04972740347685,191.55798546515015,193.29411336924167,419400
2021-07-27,193.73484802246094,195.8217973494735,191.08119513026745,195.8217973494735,703100
2021-07-28,190.9282684326172,194.79631148056578,190.76635705491415,194.02270287097605,496400
